Date,Close
1/2/2019 16:00:00,34.06
1/3/2019 16:00:00,32
1/4/2019 16:00:00,34.05
1/7/2019 16:00:00,35.85
1/8/2019 16:00:00,34.96
1/9/2019 16:00:00,35.65
1/10/2019 16:00:00,36.31
1/11/2019 16:00:00,37.21
1/14/2019 16:00:00,37.61
1/15/2019 16:00:00,37.47
1/16/2019 16:00:00,37.21
1/17/2019 16:00:00,37.93
1/18/2019 16:00:00,39.23
1/22/2019 16:00:00,37.19
1/23/2019 16:00:00,37.32
1/24/2019 16:00:00,39.46
1/25/2019 16:00:00,40.04
1/28/2019 16:00:00,34.5
1/29/2019 16:00:00,32.9
1/30/2019 16:00:00,34.35
1/31/2019 16:00:00,35.94
2/1/2019 16:00:00,36.18
2/4/2019 16:00:00,37.3
2/5/2019 16:00:00,37.49
2/6/2019 16:00:00,38.25
2/7/2019 16:00:00,36.85
2/8/2019 16:00:00,37.04
2/11/2019 16:00:00,36.61
2/12/2019 16:00:00,37.79
2/13/2019 16:00:00,38.22
2/14/2019 16:00:00,38.63
2/15/2019 16:00:00,39.34
2/19/2019 16:00:00,39.16
2/20/2019 16:00:00,39.64
2/21/2019 16:00:00,38.94
2/22/2019 16:00:00,39.8
2/25/2019 16:00:00,39.67
2/26/2019 16:00:00,39.28
2/27/2019 16:00:00,38.85
2/28/2019 16:00:00,38.57
3/1/2019 16:00:00,39.11
3/4/2019 16:00:00,39.2
3/5/2019 16:00:00,39.13
3/6/2019 16:00:00,38.01
3/7/2019 16:00:00,37.32
3/8/2019 16:00:00,37.66
3/11/2019 16:00:00,40.28
3/12/2019 16:00:00,40.63
3/13/2019 16:00:00,42.16
3/14/2019 16:00:00,41.39
3/15/2019 16:00:00,42.45
3/18/2019 16:00:00,42.24
3/19/2019 16:00:00,43.93
3/20/2019 16:00:00,43.6
3/21/2019 16:00:00,45.99
3/22/2019 16:00:00,44.38
3/25/2019 16:00:00,43.45
3/26/2019 16:00:00,44.22
