Date,Close
2019-01-02,62.02
2019-01-03,60.07
2019-01-04,63.54
2019-01-07,66.99
2019-01-08,67.07
2019-01-09,67.71
2019-01-10,68.99
2019-01-11,69.45
2019-01-14,66.88
2019-01-15,68.89
2019-01-16,69.21
2019-01-17,69.46
2019-01-18,60.45
2019-01-22,59.78
2019-01-23,57.52
2019-01-24,58.3
2019-01-25,59.41
2019-01-28,59.28
2019-01-29,59.49
2019-01-30,61.75
2019-01-31,61.4
2019-02-01,62.44
2019-02-04,62.58
2019-02-05,64.27
2019-02-06,63.44
2019-02-07,61.5
2019-02-08,61.16
2019-02-11,62.57
2019-02-12,62.36
2019-02-13,61.63
2019-02-14,60.75
2019-02-15,61.58
2019-02-19,61.13
2019-02-20,60.51
2019-02-21,58.25
2019-02-22,58.94
2019-02-25,59.75
2019-02-26,59.57
2019-02-27,62.95
2019-02-28,63.98
2019-03-01,58.96
2019-03-04,57.07
2019-03-05,55.31
2019-03-06,55.25
2019-03-07,55.32
2019-03-08,56.83
2019-03-11,58.18
2019-03-12,56.67
2019-03-13,57.79
2019-03-14,57.99
2019-03-15,55.09
2019-03-18,53.9
2019-03-19,53.49
2019-03-20,54.72
2019-03-21,54.8
2019-03-22,52.91
2019-03-25,52.08
2019-03-26,53.55
2019-03-27,54.97
2019-03-28,55.72
2019-03-29,55.97
2019-04-01,57.84
2019-04-02,57.18
2019-04-03,58.36
2019-04-04,53.56
2019-04-05,54.99
2019-04-08,54.64
2019-04-09,54.46
2019-04-10,55.21
2019-04-11,53.68
2019-04-12,53.54
2019-04-15,53.28
2019-04-16,54.67
2019-04-17,54.25
2019-04-18,54.65
2019-04-22,52.55
2019-04-23,52.78
2019-04-24,51.73
2019-04-25,49.53
2019-04-26,47.03
2019-04-29,48.29
2019-04-30,47.74
2019-05-01,46.8
2019-05-02,48.82
2019-05-03,51.01
2019-05-06,51.07
2019-05-07,49.41
2019-05-08,48.97
2019-05-09,48.4
2019-05-10,47.9
2019-05-13,45.4
2019-05-14,46.46
2019-05-15,46.39
2019-05-16,45.67
2019-05-17,42.21
2019-05-20,41.07
2019-05-21,41.02
2019-05-22,38.55
2019-05-23,39.1
2019-05-24,38.13
2019-05-28,37.74
2019-05-29,37.97
2019-05-30,37.64
2019-05-31,37.03
2019-06-03,35.79
2019-06-04,38.72
2019-06-05,39.32
2019-06-06,41.19
2019-06-07,40.9
2019-06-10,42.58
2019-06-11,43.42
2019-06-12,41.85
2019-06-13,42.78
2019-06-14,42.98
2019-06-17,45.01
2019-06-18,44.95
2019-06-19,45.29
2019-06-20,43.92
2019-06-21,44.37
2019-06-24,44.73
2019-06-25,43.95
2019-06-26,43.85
2019-06-27,44.57
2019-06-28,44.69
2019-07-01,45.43
2019-07-02,44.91
2019-07-03,46.98
2019-07-05,46.62
2019-07-08,46.07
2019-07-09,46.01
2019-07-10,47.78
2019-07-11,47.72
2019-07-12,49.02
2019-07-15,50.7
2019-07-16,50.48
2019-07-17,50.97
2019-07-18,50.71
2019-07-19,51.64
2019-07-22,51.14
2019-07-23,52.03
2019-07-24,52.98
2019-07-25,45.76
2019-07-26,45.61
2019-07-29,47.15
2019-07-30,48.45
2019-07-31,48.32
2019-08-01,46.77
2019-08-02,46.87
2019-08-05,45.66
2019-08-06,46.15
2019-08-07,46.68
2019-08-08,47.66
2019-08-09,47
2019-08-12,45.8
2019-08-13,47
2019-08-14,43.92
2019-08-15,43.13
2019-08-16,43.99
2019-08-19,45.37
2019-08-20,45.17
2019-08-21,44.17
2019-08-22,44.43
2019-08-23,42.28
2019-08-26,43
2019-08-27,42.82
2019-08-28,43.12
2019-08-29,44.34
2019-08-30,45.12
2019-09-03,45
2019-09-04,44.14
2019-09-05,45.92
2019-09-06,45.49
2019-09-09,46.36
2019-09-10,47.11
2019-09-11,49.42
2019-09-12,49.17
2019-09-13,49.04
2019-09-16,48.56
2019-09-17,48.96
2019-09-18,48.7
2019-09-19,49.32
2019-09-20,48.12
2019-09-23,48.25
2019-09-24,44.64
2019-09-25,45.74
2019-09-26,48.51
2019-09-27,48.43
2019-09-30,48.17
2019-10-01,48.94
2019-10-02,48.63
2019-10-03,46.61
2019-10-04,46.29
2019-10-07,47.54
2019-10-08,48.01
2019-10-09,48.91
2019-10-10,48.95
2019-10-11,49.58
2019-10-14,51.39
2019-10-15,51.58
2019-10-16,51.95
2019-10-17,52.39
2019-10-18,51.39
2019-10-21,50.7
2019-10-22,51.12
2019-10-23,50.94
2019-10-24,59.94
2019-10-25,65.63
2019-10-28,65.54
2019-10-29,63.24
2019-10-30,63
2019-10-31,62.98
2019-11-01,62.66
2019-11-04,63.49
2019-11-05,63.44
2019-11-06,65.32
2019-11-07,67.11
2019-11-08,67.43
2019-11-11,69.02
2019-11-12,69.99
2019-11-13,69.22
2019-11-14,69.87
2019-11-15,70.43
2019-11-18,70
2019-11-19,71.9
2019-11-20,70.44
2019-11-21,70.97
2019-11-22,66.61
2019-11-25,67.27
2019-11-26,65.78
2019-11-27,66.26
2019-11-29,65.99
2019-12-02,66.97
2019-12-03,67.24
2019-12-04,66.61
2019-12-05,66.07
2019-12-06,67.18
2019-12-09,67.91
2019-12-10,69.77
2019-12-11,70.54
2019-12-12,71.94
2019-12-13,71.68
2019-12-16,76.3
2019-12-17,75.8
2019-12-18,78.63
2019-12-19,80.81
2019-12-20,81.12
2019-12-23,83.84
2019-12-24,85.05
2019-12-26,86.19
2019-12-27,86.08
2019-12-30,82.94
