Date,NVDA,WDAY,TSLA
2019-01-03 16:00:00,-0.06048150322959489,-0.03580818830599719,-0.0314414704933893
2019-01-04 16:00:00,0.06406249999999991,0.06057654850019478,0.057765939736973415
2019-01-07 16:00:00,0.052863436123348206,0.0009182736455464191,0.05429650613786574
2019-01-08 16:00:00,-0.024825662482566235,0.02110091743119269,0.001194208090759874
2019-01-09 16:00:00,0.019736842105263053,-0.004612159329140386,0.009542269270911063
2019-01-10 16:00:00,0.01851332398316985,0.010711276928631719,0.018904150051691104
2019-01-11 16:00:00,0.02478656017626002,-0.002976899261728949,0.006667632990288608
2019-01-14 16:00:00,0.010749798441279212,-0.02466260599546155,-0.03700503959683232
2019-01-15 16:00:00,-0.0037224142515288605,0.006979734280291305,0.03005382775119636
2019-01-16 16:00:00,-0.006938884440885973,0.005289718489694284,0.004645086369574614
2019-01-17 16:00:00,0.019349637194302494,0.007499697592838972,0.0036121947695419987
2019-01-18 16:00:00,0.03427366200896387,0.033017168927842455,-0.12971494385257687
2019-01-22 16:00:00,-0.052001019627835876,-0.007612738261273844,-0.011083540115798263
2019-01-23 16:00:00,0.0034955633234741157,0.005211688235638556,-0.0378052860488457
2019-01-24 16:00:00,0.05734190782422299,-0.0026797157171152275,0.01356050069541026
2019-01-25 16:00:00,0.014698428788646689,0.025584112149532823,0.01903945111492278
2019-01-28 16:00:00,-0.1383616383616384,-0.017541861259824598,-0.002188183807439792
2019-01-29 16:00:00,-0.04637681159420293,-0.03368115942028982,0.003542510121457454
2019-01-30 16:00:00,0.04407294832826758,0.03557501949727038,0.03798957808034964
2019-01-31 16:00:00,0.04628820960698676,0.05161626694473398,-0.005668016194331993
2019-02-01 16:00:00,0.006677796327211993,0.02495455296645188,0.01693811074918572
2019-02-04 16:00:00,0.03095632946379201,0.003869719445340314,0.0022421524663678305
2019-02-05 16:00:00,0.005093833780160928,0.01343826962201522,0.027005433045701466
2019-02-06 16:00:00,0.020272072552680598,-0.00427914839664012,-0.012914267932161216
2019-02-07 16:00:00,-0.036601307189542465,-0.009921477079796182,-0.030580075662042794
2019-02-08 16:00:00,0.0051560379918589305,0.015004554954182403,-0.0055284552845529245
2019-02-11 16:00:00,-0.011609071274298,0.004698801541629383,0.02305428384565089
2019-02-12 16:00:00,0.032231630701994085,-0.004098791382028399,-0.0033562410100687057
2019-02-13 16:00:00,0.01137867160624495,-0.00933938370620524,-0.011706221937139105
2019-02-14 16:00:00,0.010727367870225102,0.004207723035952071,-0.01427876034398834
2019-02-15 16:00:00,0.018379497799637656,0.011933807149676401,0.01366255144032924
2019-02-19 16:00:00,-0.004575495678698749,0.010220661460244251,-0.007307567392010328
2019-02-20 16:00:00,0.012257405515832653,-0.02122029677285464,-0.010142319646654796
2019-02-21 16:00:00,-0.017658930373360304,0.004346673734428874,-0.03734919847959017
2019-02-22 16:00:00,0.022085259373394894,0.027603314508893195,0.011845493562231635
2019-02-25 16:00:00,-0.003266331658291377,0.007858243451463798,0.013742789277231049
2019-02-26 16:00:00,-0.009831106629694997,-0.005656627426998906,-0.003012552301255189
2019-02-27 16:00:00,-0.010947046843177155,0.011941369413694058,0.056739969783448085
2019-02-28 16:00:00,-0.007207207207207245,0.002430995188655416,0.016362192216044402
2019-03-01 16:00:00,0.01400051853772366,-0.04440963977163659,-0.07846201938105657
2019-03-04 16:00:00,0.002301201738685865,-0.05244792217405092,-0.032055630936227986
2019-03-05 16:00:00,-0.0017857142857142794,0.015288472268720099,-0.030839320133169812
2019-03-06 16:00:00,-0.028622540250447304,0.0025829852714882584,-0.0010847947929850665
2019-03-07 16:00:00,-0.01815311760063132,-0.00372745710683553,0.0012669683257917619
2019-03-08 16:00:00,0.009110396570203516,-0.0007702888583217549,0.027295733911785858
2019-03-11 16:00:00,0.06956983536909189,0.021419525356533242,0.023755058947738883
2019-03-12 16:00:00,0.008689175769612811,0.009919137466307237,-0.025953936060501892
2019-03-13 16:00:00,0.0376569037656902,-0.006298708231023853,0.01976354332098107
2019-03-14 16:00:00,-0.018263757115749457,0.004727116458959957,0.0034608063678838175
2019-03-15 16:00:00,0.025610050736893042,-0.0018712574850299202,-0.05000862217623725
2019-03-18 16:00:00,-0.004946996466431153,0.004392308104343989,-0.0216010165184245
2019-03-19 16:00:00,0.040009469696969724,0.021438856594315103,-0.007606679035250363
2019-03-20 16:00:00,-0.007511950830867198,0.006160914739205436,0.0229949523275379
2019-03-21 16:00:00,0.05481651376146801,0.025271132790202877,0.0014619883040936088
2019-03-22 16:00:00,-0.035007610350076046,-0.03289806660593175,-0.03448905109489053
2019-03-25 16:00:00,-0.02095538530869756,-0.0019886958342056893,-0.015687015687015693
2019-03-26 16:00:00,0.017721518987341645,0.010173046670162611,0.02822580645161299
2019-03-27 16:00:00,-0.002035278154681075,-0.015365448504983337,0.026517273576097233
2019-03-28 16:00:00,0.004078857919782353,0.00274145929987335,0.01364380571220658
2019-03-29 16:00:00,0.013089596027984651,0.01393270241850697,0.004486719310839993
2019-04-01 16:00:00,0.01514813989752728,-0.0005185377236193167,0.033410755762015354
2019-04-02 16:00:00,0.0039499670836076195,0.005343709468223157,-0.011410788381742809
2019-04-03 16:00:00,0.030819672131147557,-0.0014449375580555257,0.020636586218957698
2019-04-04 16:00:00,-0.001908396946564861,-0.04149870801033595,-0.08224811514736119
2019-04-05 16:00:00,0.014234119396643319,0.004421200194101527,0.02669902912621369
2019-04-08 16:00:00,0.004398826979472137,0.004401739223790946,-0.006364793598836127
