Date,Close
1/2/2019 16:00:00,159.74
1/3/2019 16:00:00,154.02
1/4/2019 16:00:00,163.35
1/7/2019 16:00:00,163.5
1/8/2019 16:00:00,166.95
1/9/2019 16:00:00,166.18
1/10/2019 16:00:00,167.96
1/11/2019 16:00:00,167.46
1/14/2019 16:00:00,163.33
1/15/2019 16:00:00,164.47
1/16/2019 16:00:00,165.34
1/17/2019 16:00:00,166.58
1/18/2019 16:00:00,172.08
1/22/2019 16:00:00,170.77
1/23/2019 16:00:00,171.66
1/24/2019 16:00:00,171.2
1/25/2019 16:00:00,175.58
1/28/2019 16:00:00,172.5
1/29/2019 16:00:00,166.69
1/30/2019 16:00:00,172.62
1/31/2019 16:00:00,181.53
2/1/2019 16:00:00,186.06
2/4/2019 16:00:00,186.78
2/5/2019 16:00:00,189.29
2/6/2019 16:00:00,188.48
2/7/2019 16:00:00,186.61
2/8/2019 16:00:00,189.41
2/11/2019 16:00:00,190.3
2/12/2019 16:00:00,189.52
2/13/2019 16:00:00,187.75
2/14/2019 16:00:00,188.54
2/15/2019 16:00:00,190.79
2/19/2019 16:00:00,192.74
2/20/2019 16:00:00,188.65
2/21/2019 16:00:00,189.47
2/22/2019 16:00:00,194.7
2/25/2019 16:00:00,196.23
2/26/2019 16:00:00,195.12
2/27/2019 16:00:00,197.45
2/28/2019 16:00:00,197.93
3/1/2019 16:00:00,189.14
3/4/2019 16:00:00,179.22
3/5/2019 16:00:00,181.96
3/6/2019 16:00:00,182.43
3/7/2019 16:00:00,181.75
3/8/2019 16:00:00,181.61
3/11/2019 16:00:00,185.5
3/12/2019 16:00:00,187.34
3/13/2019 16:00:00,186.16
3/14/2019 16:00:00,187.04
3/15/2019 16:00:00,186.69
3/18/2019 16:00:00,187.51
3/19/2019 16:00:00,191.53
3/20/2019 16:00:00,192.71
3/21/2019 16:00:00,197.58
3/22/2019 16:00:00,191.08
3/25/2019 16:00:00,190.7
3/26/2019 16:00:00,192.64
3/27/2019 16:00:00,189.68
3/28/2019 16:00:00,190.2
3/29/2019 16:00:00,192.85
4/1/2019 16:00:00,192.75
4/2/2019 16:00:00,193.78
4/3/2019 16:00:00,193.5
4/4/2019 16:00:00,185.47
4/5/2019 16:00:00,186.29
4/8/2019 16:00:00,187.11
4/9/2019 16:00:00,190.8
4/10/2019 16:00:00,195.1
4/11/2019 16:00:00,195.87
4/12/2019 16:00:00,195.75
4/15/2019 16:00:00,192.91
4/16/2019 16:00:00,195.79
4/17/2019 16:00:00,191.02
4/18/2019 16:00:00,187.83
4/22/2019 16:00:00,189.37
4/23/2019 16:00:00,195.2
4/24/2019 16:00:00,195.37
4/25/2019 16:00:00,198.82
4/26/2019 16:00:00,204.41
4/29/2019 16:00:00,204.51
4/30/2019 16:00:00,205.63
5/1/2019 16:00:00,201.18
5/2/2019 16:00:00,198.65
5/3/2019 16:00:00,203.12
5/6/2019 16:00:00,202.98
5/7/2019 16:00:00,198.54
5/8/2019 16:00:00,196.92
5/9/2019 16:00:00,200.35
5/10/2019 16:00:00,203.53
5/13/2019 16:00:00,194.08
5/14/2019 16:00:00,201.28
5/15/2019 16:00:00,204.99
5/16/2019 16:00:00,212
5/17/2019 16:00:00,210.38
5/20/2019 16:00:00,202.81
5/21/2019 16:00:00,206.83
5/22/2019 16:00:00,210.41
5/23/2019 16:00:00,205.32
5/24/2019 16:00:00,210.72
5/28/2019 16:00:00,212.87
5/29/2019 16:00:00,203.23
5/30/2019 16:00:00,207.91
5/31/2019 16:00:00,204.12
6/3/2019 16:00:00,191.88
6/4/2019 16:00:00,195.79
6/5/2019 16:00:00,199.6
6/6/2019 16:00:00,204.11
6/7/2019 16:00:00,211.47
6/10/2019 16:00:00,213.69
6/11/2019 16:00:00,205.77
6/12/2019 16:00:00,209.45
6/13/2019 16:00:00,208.46
6/14/2019 16:00:00,208
6/17/2019 16:00:00,209.03
6/18/2019 16:00:00,213.24
6/19/2019 16:00:00,215.76
6/20/2019 16:00:00,220.11
6/21/2019 16:00:00,216.33
6/24/2019 16:00:00,209.07
6/25/2019 16:00:00,204.52
6/26/2019 16:00:00,204.58
6/27/2019 16:00:00,206.26
6/28/2019 16:00:00,205.58
7/1/2019 16:00:00,213.47
7/2/2019 16:00:00,213.96
7/3/2019 13:00:00,216.8
7/5/2019 16:00:00,216.01
7/8/2019 16:00:00,215.27
7/9/2019 16:00:00,218.74
7/10/2019 16:00:00,219.23
7/11/2019 16:00:00,224.3
7/12/2019 16:00:00,222.17
7/15/2019 16:00:00,218
7/16/2019 16:00:00,213.5
7/17/2019 16:00:00,218.01
7/18/2019 16:00:00,217.88
7/19/2019 16:00:00,214.24
7/22/2019 16:00:00,214.34
7/23/2019 16:00:00,211.97
7/24/2019 16:00:00,214.59
7/25/2019 16:00:00,215.01
7/26/2019 16:00:00,215.89
7/29/2019 16:00:00,212.5
7/30/2019 16:00:00,205.97
7/31/2019 16:00:00,199.98
8/1/2019 16:00:00,203.86
8/2/2019 16:00:00,195.83
